"Taxa","Orderq","Modnames","AICc","Delta_AICc","LL","adjR2"
"Diatoms","0","Precip",57.48,0,-24.94,0.07
"Diatoms","0","Temp",59.93,2.45,-26.16,-0.06
"Diatoms","0","MainLinear",60.67,3.2,-24.91,0.02
"Diatoms","0","PrecipQ",60.7,3.23,-24.92,0.02
"Diatoms","0","Interaction",62.7,5.22,-24.04,0.04
"Diatoms","0","TempQ",63.02,5.54,-26.08,-0.11
"Diatoms","0","Main&TempQ",63.26,5.78,-24.32,0.01
"Diatoms","0","Main&PrecipQ",64.42,6.94,-24.9,-0.05
"Diatoms","2","Precip",61.61,0,-27.01,0.03
"Diatoms","2","Temp",63.15,1.53,-27.77,-0.05
"Diatoms","2","MainLinear",64.74,3.12,-26.94,-0.02
"Diatoms","2","PrecipQ",64.87,3.26,-27.01,-0.03
"Diatoms","2","TempQ",66.05,4.44,-27.6,-0.1
"Diatoms","2","Main&TempQ",67.13,5.51,-26.26,-0.02
"Diatoms","2","Interaction",67.36,5.75,-26.37,-0.03
"Diatoms","2","Main&PrecipQ",68.49,6.88,-26.94,-0.09
"Invertebrates","0","Precip",48.04,0,-20.22,0.02
"Invertebrates","0","Temp",49.41,1.37,-20.9,-0.06
"Invertebrates","0","PrecipQ",49.79,1.76,-19.47,0.03
"Invertebrates","0","MainLinear",51.24,3.21,-20.19,-0.04
"Invertebrates","0","TempQ",52.62,4.58,-20.88,-0.12
"Invertebrates","0","Main&PrecipQ",53.52,5.49,-19.45,-0.03
"Invertebrates","0","Main&TempQ",54.52,6.49,-19.95,-0.08
"Invertebrates","0","Interaction",54.89,6.85,-20.14,-0.1
"Invertebrates","2","Precip",58.47,0,-25.44,0.22
"Invertebrates","2","PrecipQ",60.92,2.45,-25.03,0.2
"Invertebrates","2","MainLinear",61.48,3,-25.31,0.18
"Invertebrates","2","Main&TempQ",63.33,4.86,-24.36,0.21
"Invertebrates","2","Main&PrecipQ",63.95,5.47,-24.67,0.18
"Invertebrates","2","Temp",64.07,5.6,-28.23,-0.05
"Invertebrates","2","Interaction",64.89,6.42,-25.14,0.14
"Invertebrates","2","TempQ",67.23,8.76,-28.19,-0.11
"Fish","0","Temp",98.82,0,-45.7,-0.04
"Fish","0","Precip",98.99,0.17,-45.79,-0.05
"Fish","0","TempQ",100.64,1.82,-45.07,-0.03
"Fish","0","MainLinear",101.88,3.07,-45.69,-0.1
"Fish","0","PrecipQ",102.08,3.26,-45.79,-0.11
"Fish","0","Main&TempQ",104.13,5.32,-45.07,-0.1
"Fish","0","Interaction",104.81,5.99,-45.41,-0.13
"Fish","0","Main&PrecipQ",105.35,6.53,-45.67,-0.16
"Fish","2","Temp",51.58,0,-22.08,-0.01
"Fish","2","Precip",52.54,0.96,-22.57,-0.05
"Fish","2","TempQ",53.25,1.67,-21.37,0.01
"Fish","2","MainLinear",54.64,3.06,-22.07,-0.06
"Fish","2","PrecipQ",54.67,3.09,-22.08,-0.06
"Fish","2","Main&TempQ",56.59,5.01,-21.3,-0.04
"Fish","2","Main&PrecipQ",57.71,6.13,-21.86,-0.1
"Fish","2","Interaction",57.98,6.4,-21.99,-0.11
"FTrait","0","Temp",60.16,0,-26.37,0.01
"FTrait","0","Precip",61.35,1.19,-26.97,-0.05
"FTrait","0","TempQ",62.64,2.48,-26.07,-0.01
"FTrait","0","MainLinear",63.24,3.08,-26.37,-0.04
"FTrait","0","PrecipQ",64.43,4.27,-26.97,-0.11
"FTrait","0","Main&TempQ",66.14,5.98,-26.07,-0.07
"FTrait","0","Interaction",66.24,6.08,-26.12,-0.08
"FTrait","0","Main&PrecipQ",66.39,6.22,-26.19,-0.09
"FTrait","2","Temp",34.63,0,-13.61,0.07
"FTrait","2","Precip",37.12,2.49,-14.85,-0.05
"FTrait","2","TempQ",37.25,2.61,-13.37,0.04
"FTrait","2","MainLinear",37.58,2.94,-13.54,0.02
"FTrait","2","PrecipQ",39.25,4.61,-14.37,-0.06
"FTrait","2","Main&TempQ",40.48,5.85,-13.24,-0.01
"FTrait","2","Main&PrecipQ",40.91,6.28,-13.46,-0.03
"FTrait","2","Interaction",40.99,6.36,-13.5,-0.03
