Taxa,Session,T,U,S.obs,SC(T),SC(2T),Singletons,Doubletons
BenthicInvertebrates,1,8,149,25,0.996,1.000,1,2
BenthicInvertebrates,2,8,171,28,0.984,0.992,3,1
BenthicInvertebrates,3,8,155,25,1.000,1.000,0,2
BenthicInvertebrates,4,8,136,26,0.973,0.987,4,0
BenthicInvertebrates,5,8,149,25,1.000,1.000,0,5
BenthicInvertebrates,6,8,163,26,1.000,1.000,1,0
BenthicInvertebrates,7,8,159,27,0.996,1.000,1,2
BenthicInvertebrates,8,8,146,27,0.990,0.999,2,3
BenthicInvertebrates,9,8,167,27,0.995,0.999,1,1
BenthicInvertebrates,10,8,168,27,0.991,0.999,2,0
BenthicInvertebrates,11,8,176,26,1.000,1.000,0,0
BenthicInvertebrates,12,8,169,27,1.000,1.000,0,2
BenthicInvertebrates,13,8,170,28,0.990,0.996,2,1
BenthicInvertebrates,14,8,186,28,0.997,1.000,1,2
BenthicInvertebrates,15,8,161,27,1.000,1.000,0,4
BenthicInvertebrates,16,8,130,26,0.988,0.998,2,2
BenthicInvertebrates,17,8,176,27,1.000,1.000,0,1
BenthicInvertebrates,18,8,179,26,1.000,1.000,0,1
BenthicInvertebrates,19,8,167,26,1.000,1.000,1,0
Diatoms,1,8,137,25,0.980,0.990,3,1
Diatoms,2,8,122,26,0.962,0.978,5,0
Diatoms,3,8,113,25,0.969,0.989,4,2
Diatoms,4,8,93,21,0.975,0.997,3,3
Diatoms,5,8,109,25,0.971,0.996,4,4
Diatoms,6,8,118,25,0.964,0.990,5,3
Diatoms,7,8,131,23,0.994,0.999,1,1
Diatoms,8,8,115,23,0.988,0.999,2,3
Diatoms,9,8,114,24,0.989,1.000,2,4
Diatoms,10,8,125,25,0.996,1.000,1,3
Diatoms,11,8,124,25,0.997,1.000,1,6
Diatoms,12,8,100,22,0.989,1.000,2,6
Diatoms,13,8,113,24,0.958,0.973,5,1
Diatoms,14,8,133,26,0.991,1.000,2,5
Diatoms,15,8,124,26,0.990,1.000,2,4
Diatoms,16,8,110,24,0.987,0.999,2,3
Diatoms,17,8,117,25,0.973,0.996,4,4
Diatoms,18,8,127,25,0.996,1.000,1,4
Diatoms,19,8,117,26,0.965,0.993,5,4
Fish,1,8,43,12,0.959,0.986,2,1
Fish,2,8,54,14,0.931,0.960,4,1
Fish,3,8,51,15,0.907,0.941,5,1
Fish,4,8,48,13,0.943,0.972,3,1
Fish,5,8,51,16,0.893,0.948,6,2
Fish,6,8,54,18,0.880,0.936,7,2
Fish,7,8,48,14,0.924,0.963,4,0
Fish,8,8,49,12,0.964,0.988,2,1
Fish,9,8,42,13,0.911,0.949,4,1
Fish,10,8,44,12,0.988,1.000,1,3
Fish,11,8,42,13,0.887,0.928,5,1
Fish,12,8,45,12,0.965,0.995,2,2
Fish,13,8,45,12,0.961,0.987,2,1
Fish,14,8,45,11,0.965,0.995,2,0
Fish,15,8,47,12,0.944,0.981,3,0
Fish,16,8,45,15,0.852,0.898,7,0
Fish,17,8,48,16,0.907,0.961,5,2
Fish,18,8,53,15,0.930,0.959,4,1
Fish,19,8,49,11,1.000,1.000,0,2
Fish,20,8,47,11,1.000,1.000,1,0
Fish,21,8,52,13,0.947,0.975,3,1
Fish,22,8,53,13,0.971,0.996,2,2
Fish&Crustaceans,1,8,50,14,0.969,0.996,2,2
Fish&Crustaceans,2,8,62,16,0.940,0.965,4,1
Fish&Crustaceans,3,8,56,17,0.920,0.966,5,2
Fish&Crustaceans,4,8,53,16,0.938,0.987,4,3
Fish&Crustaceans,5,8,61,19,0.894,0.943,7,2
Fish&Crustaceans,6,8,59,21,0.857,0.912,9,2
Fish&Crustaceans,7,8,52,16,0.910,0.948,5,0
Fish&Crustaceans,8,8,54,14,0.949,0.976,3,1
Fish&Crustaceans,9,8,46,16,0.881,0.942,6,2
Fish&Crustaceans,10,8,49,14,0.990,1.000,1,4
Fish&Crustaceans,11,8,49,15,0.908,0.961,5,2
Fish&Crustaceans,12,8,50,15,0.930,0.976,4,2
Fish&Crustaceans,13,8,50,15,0.953,0.994,3,3
Fish&Crustaceans,14,8,52,14,0.970,0.996,2,2
Fish&Crustaceans,15,8,51,15,0.907,0.941,5,1
Fish&Crustaceans,16,8,47,17,0.815,0.860,9,0
Fish&Crustaceans,17,8,54,19,0.880,0.936,7,2
Fish&Crustaceans,18,8,59,18,0.947,0.993,4,4
Fish&Crustaceans,19,8,55,14,0.990,1.000,1,3
Fish&Crustaceans,20,8,49,13,0.946,0.982,3,0
Fish&Crustaceans,21,8,57,16,0.917,0.947,5,1
Fish&Crustaceans,22,8,64,16,0.978,0.999,2,3
