"Taxa","Coverage","Orderq","Model","Term","Estimate","Std. Error","t value","Pr(>|t|)"
"Diatoms","Cmin","0","(Intercept)","Intercept",0.108384585654158,0.0146535675349413,7.3964640621279,1.11378604220726e-12
"Diatoms","Cmin","0","GroupUndisturbed","Group (Undisturbed)",-0.0431851703853363,0.0207232739450641,-2.08389709559488,0.0379202645634908
"Diatoms","Cmin","0","time_pred","LagSqrt Session",0.000553106280698608,0.00567530230253538,0.0974584702653662,0.922420077966032
"Diatoms","Cmin","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00622512937634965,0.00802608948681278,-0.77561175795234,0.438520581970577
"Diatoms","Cmin","2","(Intercept)","Intercept",0.133291950644801,0.00590095268554501,22.5882086754082,1.64080355291588e-69
"Diatoms","Cmin","2","GroupUndisturbed","Group (Undisturbed)",-0.0196530372121178,0.00834520731881969,-2.35500886452483,0.0190934470338738
"Diatoms","Cmin","2","time_pred","LagSqrt Session",0.00210397043930584,0.00228542914778739,0.920601910298894,0.357914880055175
"Diatoms","Cmin","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00140747895117133,0.0032320848966437,-0.4354709100101,0.663498601089475
"Diatoms","Cmax","0","(Intercept)","Intercept",0.112932951127166,0.0238272745204598,4.73965039644773,3.15928501801145e-06
"Diatoms","Cmax","0","GroupUndisturbed","Group (Undisturbed)",-0.0481491424421385,0.0336968547812212,-1.42889129429882,0.153958965272291
"Diatoms","Cmax","0","time_pred","LagSqrt Session",0.00604167437996231,0.00922826374032536,0.654692426437879,0.513111060072809
"Diatoms","Cmax","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.0170236986915153,0.013050735738724,-1.30442444260079,0.192976414940396
"Diatoms","Cmax","2","(Intercept)","Intercept",0.13748988292298,0.00612377139300443,22.4518314122639,5.61729761636818e-69
"Diatoms","Cmax","2","GroupUndisturbed","Group (Undisturbed)",-0.0217408491987771,0.00866032055685925,-2.51039774521483,0.0125260255836857
"Diatoms","Cmax","2","time_pred","LagSqrt Session",0.00299753618755314,0.00237172646210877,1.26386252185589,0.207150320766416
"Diatoms","Cmax","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00250359999413996,0.00335412772895337,-0.746423570136723,0.455930432337327
"Invertebrates","Cmin","0","(Intercept)","Intercept",0.0647571156849021,0.0106202027534978,6.09754043194459,2.94181871082769e-09
"Invertebrates","Cmin","0","GroupUndisturbed","Group (Undisturbed)",-0.0488308620129547,0.0150192347691487,-3.25122170093907,0.00126481873277172
"Invertebrates","Cmin","0","time_pred","LagSqrt Session",0.00588266964615496,0.00411318683976433,1.4301975269599,0.153584074198071
"Invertebrates","Cmin","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",0.0229479650688019,0.00581692461336924,3.94503394733014,9.70517431815044e-05
"Invertebrates","Cmin","2","(Intercept)","Intercept",0.0770593409373229,0.00440199399366752,17.5055534033387,2.70246619095353e-49
"Invertebrates","Cmin","2","GroupUndisturbed","Group (Undisturbed)",-0.019147259536176,0.00622535960732952,-3.07568730867093,0.00227144978271636
"Invertebrates","Cmin","2","time_pred","LagSqrt Session",0.00619036123441967,0.00170488494275795,3.63095542647335,0.000326106372559753
"Invertebrates","Cmin","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",0.00598734648858096,0.00241107140833397,2.48327215356852,0.0135025749645255
"Invertebrates","Cmax","0","(Intercept)","Intercept",0.0424355035338617,0.0155005699477089,2.7376737550308,0.00651502378932656
"Invertebrates","Cmax","0","GroupUndisturbed","Group (Undisturbed)",-0.0575071992507773,0.0219211162445627,-2.62337002409908,0.00910104572803285
"Invertebrates","Cmax","0","time_pred","LagSqrt Session",0.018704049002937,0.00600334492641999,3.11560458913875,0.00199285609588631
"Invertebrates","Cmax","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",0.0230320665147166,0.00849001181454686,2.71284269301643,0.00701238013012872
"Invertebrates","Cmax","2","(Intercept)","Intercept",0.0755325690689706,0.00452206290563549,16.7031221469388,4.33888665176612e-46
"Invertebrates","Cmax","2","GroupUndisturbed","Group (Undisturbed)",-0.018715780036118,0.00639516269105399,-2.92655260550274,0.00365943705249537
"Invertebrates","Cmax","2","time_pred","LagSqrt Session",0.00690717800329376,0.00175138743240286,3.94383211589983,9.75180214889968e-05
"Invertebrates","Cmax","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",0.00509204659956772,0.00247683585987392,2.05586760191163,0.0405629382117806
"Fish","Cmin","0","(Intercept)","Intercept",0.127074607229519,0.0126792890083783,10.0222186863593,1.13122788005536e-21
"Fish","Cmin","0","GroupUndisturbed","Group (Undisturbed)",0.0563042551857091,0.0179312224768966,3.14001207994904,0.00178894525622906
"Fish","Cmin","0","time_pred","LagSqrt Session",0.00251786188963683,0.00328723198778905,0.765951992128888,0.444064862282419
"Fish","Cmin","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00798509453220591,0.00464884805979794,-1.7176501424641,0.0864771475480632
"Fish","Cmin","2","(Intercept)","Intercept",0.0955047606406785,0.00484008477934815,19.7320429278805,1.39382461399411e-64
"Fish","Cmin","2","GroupUndisturbed","Group (Undisturbed)",0.0223914954737415,0.00684491353798972,3.271260527904,0.0011443150352168
"Fish","Cmin","2","time_pred","LagSqrt Session",0.00414940424357651,0.00125484019646297,3.30671925817525,0.00101157456815033
"Fish","Cmin","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00285095781247281,0.00177461202444885,-1.60652456604324,0.108787494755504
"Fish","Cmax","0","(Intercept)","Intercept",0.152053318230366,0.0240102419238134,6.33285240160613,5.34955882215438e-10
"Fish","Cmax","0","GroupUndisturbed","Group (Undisturbed)",0.0925051566713146,0.0339556097645159,2.72429673072706,0.00666856558531591
"Fish","Cmax","0","time_pred","LagSqrt Session",0.000914264860689529,0.00622489441122127,0.14687234839541,0.883291742521143
"Fish","Cmax","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00912052187119932,0.0088033301006896,-1.03603088454957,0.30068653297142
"Fish","Cmax","2","(Intercept)","Intercept",0.0994557624180104,0.00560756648823619,17.735993434345,5.2970929610118e-55
"Fish","Cmax","2","GroupUndisturbed","Group (Undisturbed)",0.0265484473745743,0.00793029657957247,3.34772440200535,0.000875950877356801
"Fish","Cmax","2","time_pred","LagSqrt Session",0.00403579193588195,0.00145381747522305,2.77599630260515,0.00570878539853048
"Fish","Cmax","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00212964931132544,0.00205600839067546,-1.0358174222362,0.300786027882092
"FishTrait","Cmin","0","(Intercept)","Intercept",0.0539531893821577,0.00642535686068194,8.396917175497,4.71660957969647e-16
"FishTrait","Cmin","0","GroupUndisturbed","Group (Undisturbed)",0.0402582300408991,0.00908682681546339,4.43039477459724,1.15558521967182e-05
"FishTrait","Cmin","0","time_pred","LagSqrt Session",0.00196187132056048,0.0016658377761905,1.17770850715546,0.239470855610697
"FishTrait","Cmin","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00455232724554096,0.00235585037580204,-1.93234990316018,0.0538786019811825
"FishTrait","Cmin","2","(Intercept)","Intercept",0.032463763152943,0.00256487091944952,12.6570748285105,4.62348805925257e-32
"FishTrait","Cmin","2","GroupUndisturbed","Group (Undisturbed)",0.0203476540242525,0.00362727524002185,5.60962504299232,3.35461999710979e-08
"FishTrait","Cmin","2","time_pred","LagSqrt Session",0.00161350234921157,0.000664968337372314,2.42643485190209,0.0155991371217195
"FishTrait","Cmin","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.0016674100122342,0.000940407241260615,-1.7730722808972,0.0768230207876188
"FishTrait","Cmax","0","(Intercept)","Intercept",0.0483839134155686,0.0123118738518634,3.92985779400637,9.6914630569674e-05
"FishTrait","Cmax","0","GroupUndisturbed","Group (Undisturbed)",0.0817487512686301,0.0174116189795318,4.69506892866939,3.44362913852988e-06
"FishTrait","Cmax","0","time_pred","LagSqrt Session",0.00468957340808027,0.0031919759482354,1.46917567178812,0.142411522789287
"FishTrait","Cmax","0","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.0100793790206772,0.00451413567676322,-2.23284804498931,0.0259990638727397
"FishTrait","Cmax","2","(Intercept)","Intercept",0.0327235354964422,0.00269546340948829,12.140226196821,6.44260086663163e-30
"FishTrait","Cmax","2","GroupUndisturbed","Group (Undisturbed)",0.0207761345457406,0.00381196091057876,5.45024858153287,7.89795033513686e-08
"FishTrait","Cmax","2","time_pred","LagSqrt Session",0.0017201163714778,0.000698825741390539,2.46143819495698,0.0141733791240364
"FishTrait","Cmax","2","GroupUndisturbed:time_pred","LagSqrt Session (Undisturbed)",-0.00168561153338449,0.000988288841209933,-1.70558592093465,0.0887037939041003
